SMILES,T_g (K)
C=C(C)C(=O)Nc1cccc(NC(=O)CCNC(=O)OC(C)(C)C)c1,386.26666193757467
C=CC(=O)Nc1c(F)cc(F)cc1F,296.3311941360576
C=C(C)C(=O)NC,266.23879034039044
C=CC(=O)NCOCCCC,256.9018799234345
C=CC(=O)N1CCn2cccc2C1CCC,339.7265313454735
C=CC(=O)NCCc1cccc(Br)c1,302.58317998920467
C=C(C)C(=O)OCCOCCOCCOC,258.7533846796453
C=CC(=O)N[C@H](C(=O)OC(C)(C)C)C(C)C,292.6250080441465
C=C(C)C(=O)Nc1ccccc1NC(=O)c1cccc(OC(C)=O)c1,376.15801624807057
C=CC(=O)Nc1nc(C)c(Cl)cc1Cl,338.3066714266163
C=C(C)C(=O)OCCCS(=O)(=O)O,295.6609112805774
C=CC(=O)NC1CCC(N)C1,293.7319718622033
C=CC(=O)NC(C)(C)C(C)(C)O,286.085972004176
C=CC(=O)NCC1CC(C)N(C)C1,294.90693253218717
C=CN1CCCC1=O,267.85223259663394
C=CC(=O)N1CCN(C)C(CC)C1,288.3514562683979
C=CC(=O)Nc1cc(OC)c(C(=O)O)cc1Cl,367.3730936563818
C=CC(=O)Nc1ccc(C)c(Br)c1,327.46232004661107
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,272.2397482615956
C=CC(=O)NCc1conc1C,318.0532907444904
C=CC(=O)NCCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,346.5187195467338
C=CC(=O)N(C)C,219.0881449859694
C=CC(=O)NCCC,242.23761748350935
C=CC(=O)NCc1ccc(C(=O)Nc2c3ccccc3n3c(C)nc4ccccc4c23)cc1,307.71300817386054
C=CC(=O)OCC,223.25462500030108
C=CC(=O)N1CCOC(C)C1,285.62107096237753
C=CC(=O)N1CCC(C(=O)NC(CCC)C(=O)Nc2cccc(N3CCCC3)c2)CC1,335.47921319961415
C=C(C)C(=O)NCc1ccc(Br)cc1,307.4284092616673
C=CC(=O)N(C)CC(C)C,244.6439844778392
C=CC(=O)N1CCCN(CC(=O)N(C)C)CC1,358.5078022292977
C=C(C)C(=O)OCC(O)CSc1ccc(F)c(F)c1,373.0131470364055
