regime,seed,fold,cutoff,test_local_index,max_tanimoto_to_train,regime_label
stratified,42,1,,92,0.5128205128205128,cluster_cnan
stratified,42,1,,97,0.5428571428571428,cluster_cnan
stratified,42,1,,100,0.4444444444444444,cluster_cnan
stratified,42,1,,103,0.6521739130434783,cluster_cnan
stratified,42,1,,105,0.3466666666666667,cluster_cnan
stratified,42,1,,107,0.6785714285714286,cluster_cnan
stratified,42,1,,109,0.6595744680851063,cluster_cnan
stratified,42,1,,110,1.0,cluster_cnan
stratified,42,1,,117,0.8387096774193549,cluster_cnan
stratified,42,1,,120,0.5833333333333334,cluster_cnan
stratified,42,1,,132,0.4489795918367347,cluster_cnan
stratified,42,1,,137,0.55,cluster_cnan
stratified,42,1,,144,0.3111111111111111,cluster_cnan
stratified,42,1,,145,0.2688172043010752,cluster_cnan
stratified,42,1,,146,0.7254901960784313,cluster_cnan
stratified,42,1,,152,0.4827586206896552,cluster_cnan
stratified,42,1,,154,0.6326530612244898,cluster_cnan
stratified,42,1,,161,0.4736842105263157,cluster_cnan
stratified,42,1,,162,0.4545454545454545,cluster_cnan
stratified,42,1,,171,0.4473684210526316,cluster_cnan
stratified,42,1,,172,0.5348837209302325,cluster_cnan
stratified,42,1,,186,0.4375,cluster_cnan
stratified,42,1,,189,0.5357142857142857,cluster_cnan
stratified,42,1,,191,0.3617021276595745,cluster_cnan
stratified,42,1,,192,0.4444444444444444,cluster_cnan
stratified,42,1,,205,0.5116279069767442,cluster_cnan
stratified,42,1,,209,0.4358974358974359,cluster_cnan
stratified,42,1,,218,0.5,cluster_cnan
stratified,42,1,,224,0.6,cluster_cnan
stratified,42,1,,232,0.525,cluster_cnan
stratified,42,1,,235,0.5263157894736842,cluster_cnan
stratified,42,1,,237,0.375,cluster_cnan
stratified,42,1,,245,0.5526315789473685,cluster_cnan
stratified,42,1,,246,0.5897435897435898,cluster_cnan
stratified,42,1,,248,0.4516129032258064,cluster_cnan
stratified,42,1,,249,0.5806451612903226,cluster_cnan
stratified,42,1,,251,0.4,cluster_cnan
stratified,42,1,,252,0.65,cluster_cnan
stratified,42,1,,254,0.3653846153846153,cluster_cnan
stratified,42,1,,256,0.627906976744186,cluster_cnan
stratified,42,1,,259,0.4393939393939394,cluster_cnan
stratified,42,1,,260,0.46875,cluster_cnan
stratified,42,1,,261,0.4883720930232558,cluster_cnan
stratified,42,1,,263,0.5813953488372093,cluster_cnan
stratified,42,1,,269,0.4081632653061224,cluster_cnan
stratified,42,1,,275,0.45,cluster_cnan
stratified,42,1,,276,0.6296296296296297,cluster_cnan
stratified,42,1,,283,0.320754716981132,cluster_cnan
stratified,42,1,,293,0.5517241379310345,cluster_cnan
stratified,42,1,,310,0.45,cluster_cnan
stratified,42,1,,316,0.5294117647058824,cluster_cnan
stratified,42,1,,324,0.3684210526315789,cluster_cnan
stratified,42,1,,325,0.4791666666666667,cluster_cnan
stratified,42,1,,337,0.6486486486486487,cluster_cnan
stratified,42,1,,338,0.4411764705882353,cluster_cnan
stratified,42,1,,339,0.3170731707317073,cluster_cnan
stratified,42,1,,362,0.4390243902439024,cluster_cnan
stratified,42,1,,369,0.4210526315789473,cluster_cnan
stratified,42,1,,371,0.3571428571428571,cluster_cnan
stratified,42,1,,393,0.5454545454545454,cluster_cnan
stratified,42,1,,396,0.5714285714285714,cluster_cnan
stratified,42,1,,407,0.6097560975609756,cluster_cnan
stratified,42,2,,0,0.5454545454545454,cluster_cnan
stratified,42,2,,9,0.4,cluster_cnan
stratified,42,2,,10,0.3114754098360656,cluster_cnan
stratified,42,2,,12,0.6,cluster_cnan
