regime,base_regime,cutoff,model,seed,fold,frac,RMSE,MAE,R2,optuna_best_rmse_innercv,alpha,nominal_coverage,cov,width,qhat
stratified,stratified,,xgb,42,2,0.4,25.426999560314997,19.015216606089343,0.7563233591413315,27.954460984628422,0.2,0.8,0.8536585365853658,80.04425493765405,40.02212746882702
stratified,stratified,,svr,42,2,0.4,27.321632553535757,20.104060407961555,0.7186564516115866,28.133746017420563,0.05,0.95,0.975609756097561,146.88404384774978,73.4420219238749
stratified,stratified,,svr,42,2,0.4,27.321632553535757,20.104060407961555,0.7186564516115866,28.133746017420563,0.1,0.9,0.8536585365853658,65.38513776629192,32.69256888314595
stratified,stratified,,svr,42,2,0.4,27.321632553535757,20.104060407961555,0.7186564516115866,28.133746017420563,0.2,0.8,0.7439024390243902,49.815511655928326,24.907755827964166
stratified,stratified,,xgb,42,2,0.6,23.099719044404335,17.153416633514677,0.7988884266827707,24.191113219680446,0.05,0.95,1.0,127.02266217787975,63.51133108893987
stratified,stratified,,xgb,42,2,0.6,23.099719044404335,17.153416633514677,0.7988884266827707,24.191113219680446,0.1,0.9,0.8658536585365854,72.68636208867837,36.34318104433919
stratified,stratified,,xgb,42,2,0.6,23.099719044404335,17.153416633514677,0.7988884266827707,24.191113219680446,0.2,0.8,0.8048780487804879,61.7264399672149,30.86321998360745
stratified,stratified,,svr,42,2,0.6,27.421214715749866,18.97005717977084,0.716601826451525,23.804456490667345,0.05,0.95,0.9634146341463414,120.43667802934658,60.21833901467329
stratified,stratified,,svr,42,2,0.6,27.421214715749866,18.97005717977084,0.716601826451525,23.804456490667345,0.1,0.9,0.8902439024390244,84.45866983438032,42.22933491719016
stratified,stratified,,svr,42,2,0.6,27.421214715749866,18.97005717977084,0.716601826451525,23.804456490667345,0.2,0.8,0.8170731707317073,64.93932793519139,32.46966396759569
stratified,stratified,,xgb,42,2,0.8,30.292899700457344,20.320151639704434,0.6541359983727022,39.92092219993979,0.05,0.95,0.9634146341463414,133.98754514446796,66.99377257223398
stratified,stratified,,xgb,42,2,0.8,30.292899700457344,20.320151639704434,0.6541359983727022,39.92092219993979,0.1,0.9,0.8170731707317073,72.63390335195686,36.31695167597843
stratified,stratified,,xgb,42,2,0.8,30.292899700457344,20.320151639704434,0.6541359983727022,39.92092219993979,0.2,0.8,0.6951219512195121,46.365139162789546,23.182569581394773
stratified,stratified,,svr,42,2,0.8,29.86354085455411,20.558684890518403,0.6638707800106571,37.18295603674917,0.05,0.95,0.9634146341463414,136.96643692478509,68.48321846239253
stratified,stratified,,svr,42,2,0.8,29.86354085455411,20.558684890518403,0.6638707800106571,37.18295603674917,0.1,0.9,0.9390243902439024,90.76453183399985,45.38226591699993
stratified,stratified,,svr,42,2,0.8,29.86354085455411,20.558684890518403,0.6638707800106571,37.18295603674917,0.2,0.8,0.7804878048780488,58.831285981471986,29.41564299073599
stratified,stratified,,xgb,42,2,1.0,31.496744402441127,19.15046669628765,0.6261004001376694,35.669563384750255,0.05,0.95,0.9878048780487805,154.28085874737317,77.14042937368657
stratified,stratified,,xgb,42,2,1.0,31.496744402441127,19.15046669628765,0.6261004001376694,35.669563384750255,0.1,0.9,0.9146341463414634,88.98528612965583,44.49264306482792
stratified,stratified,,xgb,42,2,1.0,31.496744402441127,19.15046669628765,0.6261004001376694,35.669563384750255,0.2,0.8,0.7926829268292683,58.041727686080556,29.020863843040274
stratified,stratified,,svr,42,2,1.0,27.27971128773115,17.55686294018723,0.7195191547686914,35.15636412137755,0.05,0.95,0.975609756097561,133.8194226626248,66.9097113313124
stratified,stratified,,svr,42,2,1.0,27.27971128773115,17.55686294018723,0.7195191547686914,35.15636412137755,0.1,0.9,0.926829268292683,82.12205953262514,41.06102976631257
stratified,stratified,,svr,42,2,1.0,27.27971128773115,17.55686294018723,0.7195191547686914,35.15636412137755,0.2,0.8,0.8170731707317073,57.662702746947836,28.83135137347392
stratified,stratified,,xgb,42,3,0.2,61.84887047704088,24.51257673228595,0.19469975059798195,25.919083061625912,0.05,0.95,0.9634146341463414,117.00266638703556,58.50133319351778
stratified,stratified,,xgb,42,3,0.2,61.84887047704088,24.51257673228595,0.19469975059798195,25.919083061625912,0.1,0.9,0.9634146341463414,117.00266638703556,58.50133319351778
stratified,stratified,,xgb,42,3,0.2,61.84887047704088,24.51257673228595,0.19469975059798195,25.919083061625912,0.2,0.8,0.9634146341463414,101.16867632963725,50.58433816481863
stratified,stratified,,svr,42,3,0.2,55.260152116581,22.849821333703556,0.3571369855706039,30.232710213050193,0.05,0.95,0.9390243902439024,117.63969958842019,58.819849794210086
stratified,stratified,,svr,42,3,0.2,55.260152116581,22.849821333703556,0.3571369855706039,30.232710213050193,0.1,0.9,0.9390243902439024,117.63969958842019,58.819849794210086
stratified,stratified,,svr,42,3,0.2,55.260152116581,22.849821333703556,0.3571369855706039,30.232710213050193,0.2,0.8,0.9390243902439024,91.61459193474228,45.80729596737115
stratified,stratified,,xgb,42,3,0.4,62.083465538538626,23.33847159505936,0.18857909716202503,26.748215717102934,0.05,0.95,0.9390243902439024,95.20282299306531,47.60141149653265
stratified,stratified,,xgb,42,3,0.4,62.083465538538626,23.33847159505936,0.18857909716202503,26.748215717102934,0.1,0.9,0.9390243902439024,91.51182448337408,45.75591224168704
stratified,stratified,,xgb,42,3,0.4,62.083465538538626,23.33847159505936,0.18857909716202503,26.748215717102934,0.2,0.8,0.8048780487804879,57.44350756520271,28.721753782601354
stratified,stratified,,svr,42,3,0.4,60.76182963375629,24.35412211984451,0.22275851371568467,26.702533737615326,0.05,0.95,0.9512195121951219,98.71288615223534,49.35644307611767
stratified,stratified,,svr,42,3,0.4,60.76182963375629,24.35412211984451,0.22275851371568467,26.702533737615326,0.1,0.9,0.9390243902439024,89.65521272383114,44.82760636191557
stratified,stratified,,svr,42,3,0.4,60.76182963375629,24.35412211984451,0.22275851371568467,26.702533737615326,0.2,0.8,0.7073170731707317,52.552978550788325,26.27648927539417
stratified,stratified,,xgb,42,3,0.6,58.878908408580834,19.984601683123522,0.2701833153176557,28.904152894695425,0.05,0.95,0.9390243902439024,85.26891656274631,42.634458281373156
stratified,stratified,,xgb,42,3,0.6,58.878908408580834,19.984601683123522,0.2701833153176557,28.904152894695425,0.1,0.9,0.926829268292683,77.00618488282373,38.503092441411866
stratified,stratified,,xgb,42,3,0.6,58.878908408580834,19.984601683123522,0.2701833153176557,28.904152894695425,0.2,0.8,0.8536585365853658,55.90542236591456,27.952711182957273
